answer,tags,question,a,b,c,d,,,
b,"Torts,  Products Liability/Strict Liability","A homeowner was injured when an automatic cutoff switch failed to function on a snowblower he was using. The cutoff switch had functioned well for a year after he purchased the snowblower but failed after the machine had been improperly repaired by a mechanic. The snowblower's operating manual contained a clear and prominent warning against making the very alteration to the switch mechanism that was made by the mechanic. The mechanic, however, did not have a manual available when he repaired the snowblower. Does the homeowner have a viable claim against the manufacturer of the snowblower for damages?","No, because the homeowner was contributorily negligent in failing to furnish the snowblower's manual to the mechanic.","No, because the injury resulted from a substantial alteration of the snowblower by a third party.","Yes, because a defect in the snowblower caused the homeowner's injury.","Yes, because the manufacturer should have made the manual available to repair personnel.",,,
c,"Contracts,  Common Law Contracts","On August 1, a company operating a “lifetime care” home for the elderly admitted an 84 year old man for a trial period of two months. On September 25, the man and the Company entered into a written lifetime care contract with an effective commencement date of October 1. The full contract price was $20,000, which, as required by the terms of the contract, the man prepaid to the Company on September 25. The man died of a heart attack on October 2. In a restitutionary action, can the administratrix of the man’s estate, a surviving sister, recover on behalf of the estate either all or part of the $20,000 paid to the Company on September 25?","Yes, because the Company would otherwise be unjustly enriched at the man’s expense.","Yes, under the doctrine of frustration of purpose.","No, because the man’s life span and the duration of the Company’s commitment to him was a risk assumed by both parties.","No, but only if the Company can show that between September 25 and the man’s death it rejected, because of its commitment to the man, an application for lifetime care from another elderly person.",,,
a,"Criminal Law & Procedure,  Crimes","While walking home one evening, an off-duty police officer was accosted by a stranger. The stranger had been drinking and mistakenly thought the officer was a man who was having an affair with his wife. Intending to frighten the officer but not to harm him, the stranger pulled out a knife, screamed obscenities, and told the officer he was going to kill him. Frightened and reasonably believing the stranger was going to kill him and that using deadly force was his only salvation, the officer took out his service revolver and shot and killed the stranger. The officer is charged with murder.The officer’s claim of self-defense should be","sustained, because the officer reasonably believed the stranger was planning to kill him and that deadly force was required.","sustained, because the killing was in hot blood upon sufficient provocation.","denied, because the stranger did not in fact intend to harm the officer and the officer was incorrect in believing that he did.","denied, because the officer was not defending his home and had an obligation to retreat or to repel with less than deadly force.",,,
d,"Real Property,  Title,  Conveyancing,  Recording","A woman entered a hospital to undergo surgery and feared that she might not survive. She instructed her lawyer by telephone to prepare a deed conveying a large tract of undeveloped land, as a gift to her nephew, who lived in a distant state. Her instructions were followed, and, prior to her surgery, she executed a document in a form sufficient to constitute a deed of conveyance. The deed was recorded by the lawyer promptly as she instructed him to do. The recorded deed was returned to the lawyer by the land record office. The woman, in fact, recovered from her surgery and the lawyer returned the recorded deed to her. Before the woman or the lawyer thought to inform the nephew of the conveyance, the nephew was killed in an auto accident. The nephew’s will left all of his estate to a satanic religious cult. The woman was very upset at the prospect of the cult’s acquiring the tract. The local taxing authority assessed the next real property tax bill on the tract to the nephew’s estate. The woman brought the appropriate action against the nephew’s estate and the cult to set aside the conveyance to the nephew. If the woman loses, it will be because",the gift of the tract was inter vivos rather than causa mortis.,the showing of the nephew’s estate as the owner of the tract on the tax rolls supplied what otherwise would be a missing essential element for a valid conveyance.,disappointing the nephew’s devisee would violate the religious freedom provisions of the First Amendment to the Constitution.,delivery of the deed is presumed from the recording of the deed.,,,
b,"Evidence,  Prelim. Facts,  Burdens,  Presumptns","In a prosecution of a woman for murder, the government seeks to introduce a properly authenticated note written by the victim that reads: ""Woman did it."" In laying the foundation for admitting the note as a dying declaration, the prosecution offered an affidavit from the attending physician that the victim knew she was about to die when she wrote the note. The admissibility of the note as a dying declaration is:","a preliminary fact question for the judge, and the judge must not consider the affidavit;","a preliminary fact question for the judge, and the judge may properly consider the affidavit;","a question of weight and credibility for the jury, and the jury must not consider the affidavit;","a question of weight and credibility for the jury, and the jury may properly consider the affidavit.",,,
a,"Torts,  Products Liability/Strict Liability","A bartender was removing the restraining wire from a bottle of champagne produced and bottled by a winery. The plastic stopper suddenly shot out of the bottle. The stopper struck and injured the bartender's eye. The bartender had opened other bottles of champagne, and occasionally the stoppers had shot out with great force, but the bartender had not been injured. The bartender has brought an action against the winery, alleging that the bottle that caused his injury was defective and unreasonably dangerous because its label did not warn that the stopper might suddenly shoot out during opening. The state has merged contributory negligence and unreasonable assumption of risk into a pure comparative fault system that is applied in strict products liability actions. If the jury finds that the bottle was defective and unreasonably dangerous because it lacked a warning, will the bartender recover a judgment in his favor?","No, if the jury finds that a legally sufficient warning would not have prevented the bartender's injury;","No, if a reasonable bartender would have realized that a stopper could eject from the bottle and hit his eye;","Yes, with damages reduced by the percentage of any contributory fault on the bartender's part;","Yes, with no reduction in damages, because foreseeable lack of caution is the reason for requiring a warning.",,,
c,"Civil Procedure,  Jurisdiction/Venue","A man, a resident of California, is injured when the automobile he is driving is struck by a vehicle negligently driven by a second man, a resident of New Mexico. The second man claims he was forced to collide with the man by the negligent driving of a woman, a resident of California. The man sues the second man in Federal Court in California, claiming diversity jurisdiction and damages of $100,000. The second man impleads the woman on a third-party claim for contribution. The woman moves to dismiss on the grounds of lack of diversity. The woman’s motion should be:","Granted, because the woman and the man are not diverse of citizenship.","Granted, because the California Federal Court lacks proper venue.","Denied, because the claim between the woman and the second man arises from the same common nucleus of facts as the original claim.","Denied, because diversity rules do not apply to FRCP 14 impleaders.",,,
d,"Constitutional Law,  Powers","An interstate bus company operates in a five-state area. A federal statute authorizes the Interstate Commerce Commission (ICC) to permit interstate carriers to discontinue entirely any unprofitable route. The bus company applied to the ICC for permission to drop a very unprofitable route through a sparsely populated mountain range. The ICC granted that permission even though the bus company provided the only public transportation into the region. A man is the owner of a mountain resort in the mountain range, whose customers usually arrived on vehicles operated by the bus company. After exhausting all available federal administrative remedies, the man filed suit against the bus company in the trial court of the state in which the mountain range is located to enjoin the discontinuance by the bus company of its service to that area. The man alleged that the discontinuance of service by the bus company would violate a statute of that state prohibiting common carriers of persons from abandoning service to communities having no alternate form of public transportation. The state court should:","dismiss the action, because the man lacks standing to sue.","direct the removal of the case to federal court, because this suit involves a substantial federal question.","hear the case on its merits and decide for the man because, on these facts, a federal agency is interfering with essential state functions.","hear the case on its merits and decide for the bus company, because a valid federal law preempts the state statute on which the man relies.",,,
a,"Criminal Law & Procedure,  Crimes","A man decided to destroy his dilapidated building in order to collect the insurance money. He hired an arsonist to burn down the building. The arsonist broke into the building and carefully searched it to make sure no one was inside. He failed, however, to see a vagrant asleep in an office closet. He started a fire. The building was destroyed, and the vagrant died from burns a week later. Two days after the fire, the man filed an insurance claim in which he stated that he had no information about the cause of the fire. If the man is guilty of felony-murder, it is because the vagrant’s death occurred in connection with the felony of",arson.,fraud.,conspiracy.,burglary.,,,
b,"Constitutional Law,  Powers","Plaintiff challenged the constitutionality of a state tax law, alleging that it violated the equal protection clauses of both the United States Constitution and the state constitution. The state supreme court agreed and held the tax law to be invalid. It said: ""We hold that this state tax law violates the equal protection clause of the United States Constitution and also the equal protection clause of the state constitution because we interpret that provision of the state constitution to contain exactly the same prohibition against discriminatory legislation as is contained in the equal protection clause of the Fourteenth Amendment to the United States Constitution."" The state sought review of this decision in the United States Supreme Court, alleging that the state supreme court's determination of the federal constitutional issue was incorrect. How should the United States Supreme Court dispose of the case if it believes that this interpretation of the federal Constitution by the state supreme court raises an important federal question and is incorrect on the merits?","Reverse the state supreme court decision, because the equal protection clause of a state constitution must be construed by the state supreme court in a manner that is congruent with the meaning of the equal protection clause of the federal Constitution.","Reverse the state supreme court decision with respect to the equal protection clause of the federal Constitution and remand the case to the state supreme court for further proceedings, because the state and federal constitutional issues are so intertwined that the federal issue must be decided so that this case may be disposed of properly.","Refuse to review the decision of the state supreme court, because it is based on an adequate and independent ground of state law.","Refuse to review the decision of the state supreme court, because a state government may not seek review of decisions of its own courts in the United States Supreme Court.",,,
