answer,tags,question,a,b,c,d
c,"Real Property, Title, Conveyancing, Recording","By warranty deed, Grantor conveyed Blackacre to two women “as joint tenants with right of survivorship.” The two women are not related. One woman conveyed all her interest to a young man by warranty deed and subsequently died intestate. Thereafter, the other woman conveyed to an older man by warranty deed. There is no applicable statute, and the jurisdiction recognizes the common-law joint tenancy. Title to Blackacre is in",The young man,Grantor,The young man and the older man,The young man and the heirs of the woman who died intestate
a,Civil Procedure,"A university student, a citizen of State A, believes that her university violated federal law when it eliminated funding for the women's varsity volleyball team. She has sued the university, a nonprofit corporation located and incorporated in State B, and the university's athletic director, a citizen of State B, in federal court in State B. What is the best method of serving the defendants?",Service as required by State B's rules of civil procedure. ,Service by a process server's leaving copies of the summons and complaint with secretaries in the respective offices of the athletic director and the university president.,Service by emailing copies of the summons and complaint to the athletic director and the university president. ,Service by the student herself on the athletic director and the university president. 
d,"Torts, Negligence","A 13-year-old girl was operating a high-speed motorboat. The boat was towing a 9-year-old boy in an inner tube tied to the rear of the motorboat by a rope. The rope became tangled around the boy's foot, causing him to suffer severe injuries. In a suit brought on the boy's behalf against the girl, the boy has introduced uncontroverted evidence that the girl drove carelessly in such a way as to entangle the boy in the rope. Is the boy likely to prevail?","No, because the boy assumed the risk.","No, because the girl was too young to be expected to appreciate and avoid the risk she exposed the boy to. ","Yes, because children of the girl's age should have the capacity to operate motorboats. "," Yes, because the girl will be held to an adult standard of care. "
a,Civil Procedure,"A plaintiff sued Company, his former employer, in Federal Court, claiming a failure to properly transfer the assets in his ERISA retirement account to his new employer’s retirement plan. Which of the following facts, if true and demonstrated by the Plaintiff to the satisfaction of the Court, would enable the Plaintiff to obtain a Temporary Restraining Order without notice to the Company?"," As set forth in an affidavit by a just-fired Company plan asset manager, the Company plans to transfer all plan assets of former employees within five days to an account in Liechtenstein, a European principality with financial secrecy laws and which does not recognize the validity of American judicial orders and levies. ",The Company has moved the plan assets on three prior occasions among different brokerage accounts in New York City. ,"The Plaintiff is fearful that, if notice is given, the Company will liquidate the assets.",The Plaintiff cannot afford to post the required security. 
d,"Contracts, Common Law Contracts","A contractor contracted with a man to construct for $500,000 a warehouse and an access driveway at highway level. Shortly after commencing work on the driveway, which required for the specified level some excavation and removal of the surface material, the contractor unexpectedly encountered a large mass of solid rock. Upon encountering the rock formation, the contractor, instead of incurring additional costs to remove it, built the access driveway over the rock with a steep grade down to the highway. The man, who was out of town for several days, was unaware of this nonconformity until the driveway had been finished. As built, it is too steep to be used safely by trucks or cars, particularly in the wet or icy weather frequently occurring in the area. It would cost $30,000 to tear out and rebuild the driveway at highway level. As built, the warehouse, including the driveway, has a fair market value of $550,000. The man has paid $470,000 to the contractor, but refuses to pay more because of the nonconforming driveway, which the man has refused to tear out and rebuild. If the contractor sues the man for monetary relief, what is the maximum amount the contractor is entitled to recover?"," $30,000, because the fair market value of the warehouse and driveway “as is” exceeds the contract price by $50,000 (more than the cost of correcting the driveway). "," $30,000, because the contractor substantially performed and the cost of correcting the driveway would involve economic waste. ","$30,000, minus whatever amount the contractor saved by not building the driveway at the specified level. ","Nothing, because the man is entitled to damages for the cost of correcting the driveway."
a,"Criminal Law & Procedure, Crimes","Defendant was charged with the murder of a man who had been strangled and whose body was found in some woods near his home. Defendant suffers from a neurological problem that makes it impossible for him to remember an occurrence for longer than 48 hours. After Defendant was charged, the police visited him and asked if they might search his home. Defendant consented. The police found a diary written by Defendant. An entry dated the same day as the victim’s disappearance read, “Indescribable excitement. Why did no one ever tell me that killing gave such pleasure to the master?” Defendant was charged with murder. His attorney has moved to exclude the diary from evidence on the ground that its admission would violate Defendant’s privilege against self- incrimination. Counsel has also argued that Defendant could not give informed consent to the search because more than 48 hours had passed since the making of the entry and hence he could not remember the existence of the incriminating entry at the time he gave his consent. There is no evidence that the police officers who secured Defendant’s consent to the search were aware of his memory impairment. With regard to the diary, the court should","admit it, because Defendant’s consent was not obtained by intentional police misconduct and Defendant was not compelled to make the diary entry. ","admit it, pursuant to the good-faith exception to the exclusionary rule. "," exclude it, because Defendant was not competent to consent to a search. ","exclude it, because use of the diary as evidence would violate Defendant’s privilege against self-incrimination. "
a,Evidence Judicial Notice,"In contract litigation between Plaintiff and Defendant, a fact of consequence to the determination of the action is whether Plaintiff provided Defendant with a required notice at Defendant's branch office ""in the state capital."" Plaintiff introduced evidence that he gave notice at Defendant's office in City. Although City is the state's capital, Plaintiff failed to offer proof of that fact. Which of the following statements is most clearly correct with respect to possible judicial notice of the fact that City is the state's capital?",The court may take judicial notice even though Plaintiff does not request it.,The court may take judicial notice only if Plaintiff provides the court with an authenticated copy of the statute that designates City as the capital. ," If the court takes judicial notice, the burden of persuasion on the issue of whether City is the capital shifts to Defendant. 
 "," If the court takes judicial notice, it should instruct the jury that it may, but is not required to, accept as conclusive the fact that City is the capital. "
b,"Constitutional Law, Powers","A federal statute provides states with funds for child welfare programs, subject to the condition that such programs be administered in accordance with federal standards. The United States sued a state in federal court for injunctive relief, arguing that the state's child welfare programs, which were funded in part by federal funds disbursed under this statute, failed to comply with federal standards. The state has moved to dismiss the action. Is the court likely to dismiss the action?","No, because Congress can place any condition on the receipt of federal funds. ","No, because the Eleventh Amendment does not bar actions brought by the United States. ","Yes, because the Eleventh Amendment bars actions against a state in federal court. ","Yes, because the protection of child welfare is reserved to the states. "
c,"Criminal Law & Procedure, Crimes","A defendant was indicted and arrested for bank robbery. The defendant had an initial appearance before a magistrate judge in which he was notified of the charges and told that counsel would be appointed for him the next day. The police then required the defendant to participate with other prisoners in a lineup in which each person had to wear a white T-shirt and say, ""Put your hands in the air."" At the lineup, witnesses to the bank robbery identified the defendant as the bank robber. The next day, the defendant was arraigned on the charges. The defendant argues that his Sixth Amendment right to counsel was violated when he was denied counsel at two critical stages of the proceeding: his initial appearance in court before the magistrate judge and the lineup identification. Was the defendant's Sixth Amendment right to counsel violated?",No. ,"Yes, based only on the denial of counsel at the initial appearance.","Yes, based only on the denial of counsel at the lineup. ","Yes, based on the denial of counsel at both stages of the proceeding."
b,EvidenceImpeachment of Witnesses,"In an automobile negligence action by Plaintiff against Defendant, a man testified for Plaintiff. Defendant later called a witness, who testified that the man's reputation for truthfulness was bad. On cross-examination of the witness, Plaintiff's counsel asks, ""Isn't it a fact that when you bought your new car last year, you made a false affidavit to escape paying the sales tax?"" This question is","proper, because it will indicate the witness' standard of judgment as to reputation for truthfulness. ","proper, because it bears on the witness’ credibility.","improper, because character cannot be proved by specific instances of conduct. ","improper, because one cannot impeach an impeaching witness. "
c,Torts Trespass/Nuisance,"A man built a garage that encroached two feet across the property line onto property owned by his neighbor. Thereafter, the man sold his property to a buyer. The neighbor was unaware, prior to the man’s sale of the property, of the encroachment of the garage onto her property. When she thereafter learned of the encroachment, she sued the man for damages for trespass. In this action, will the neighbor prevail?"," No, unless the man was aware of the encroachment when the garage was built. ","No, because the man no longer owns or possesses the garage.","Yes, because the man knew where the garage was located, whether or not he knew where the property line was. ","Yes, unless the buyer was aware of the encroachment when he purchased the property. "
d,"Evidence, Authentication/Best Evidence Rule","Plaintiff sued Defendant for unlawfully using Plaintiff's idea for an animal robot as a character in Defendant's science fiction movie. Defendant admitted that he had received a model of an animal robot from Plaintiff, but he denied that it had any substantial similarity to the movie character. After the model had been returned to Plaintiff, Plaintiff destroyed it. In order for Plaintiff to testify to the appearance of the model, Plaintiff:",must show that he did not destroy the model in bad faith., must give advance notice of his intent to introduce the oral testimony. ,must introduce a photograph of the model if one exists.,"need do none of the above, because the ""best evidence rule"" applies only to writings, recordings, and photographs. "
a,Civil Procedure,"Plaintiff brought a suit against her employer under Title VII of the Civil Rights Act of 1964 alleging racial discrimination. During voir dire the judge asked the jurors whether there was anything about this type of lawsuit that would make them lean towards one particular party. One prospective juror raised her hand and indicated that as a business owner she would be swayed towards the employer as she believed that most claims in these types of cases were frivolous. The judge asked the juror whether she could impartially apply the law once she learned all of the facts. The juror replied that she would do her best but that she still thought that her experience would not allow her to be impartial. The Judge did not remove the juror and plaintiff’s counsel used their peremptory challenges on other jurors. After the jury returned a verdict in favor of the employer, plaintiff’s counsel requested a new trial. The court should:",Grant the request because the jury tribunal was not fair and impartial.,Grant the request because plaintiff’s counsel cannot be adversely impacted by judicial error. ,Deny the request because plaintiff had the opportunity to remove the juror but used their peremptory challenges on other jurors. ,Deny the request because the Judge did not strike the juror for cause.
b,"Torts, Negligence","A group of his friends are fanatical basketball fans who regularly meet at each others' homes to watch basketball games on television. Some of the group are fans of team A, and others are fans of team B. When the group has watched televised games between these two teams, fights sometimes have broken out among the group. Despite this fact, a man in the group invited the group to his home to watch a championship game between teams A and B. During the game, the man's guests became rowdy and antagonistic. Fearing that they would begin to fight, and that a fight would damage his possessions, the man asked his guests to leave. They refused to go and soon began to fight. The man called the police, and Officer was sent to the man's home. Officer sustained a broken nose in his efforts to stop the fighting. Officer brought an action against the man alleging that the man was negligent in inviting the group to his house to watch this championship game. The man has moved to dismiss the complaint. The best argument in support of the motion to dismiss would be that",a rescuer injured while attempting to avert a danger cannot recover damages from the endangered person.,a police officer is not entitled to a recovery based upon the negligent conduct that created the need for the officer's professional intervention. ,"as a matter of law, the man's conduct was not the proximate cause of Officer's injury. ","The man did not owe Officer a duty to use reasonable care, because Officer was a mere licensee on the man's property. "
